district,scenario,tco2e_draw
Karnal,CT_burn,-2.777
Karnal,CT_burn,-3.091
Karnal,CT_burn,-3.253
Karnal,CT_burn,-2.465
Karnal,CT_burn,-3.603
Karnal,CT_burn,-2.014
Karnal,CT_burn,-3.079
Karnal,CT_burn,-3.192
Karnal,CT_burn,-2.55
Karnal,CT_burn,-1.61
Karnal,CT_burn,-3.279
Karnal,CT_burn,-2.552
Karnal,CT_burn,-2.876
Karnal,CT_burn,-3.042
Karnal,CT_burn,-2.489
Karnal,CT_burn,-1.937
Karnal,CT_burn,-2.744
Karnal,CT_burn,-3.189
Karnal,CT_burn,-2.592
Karnal,CT_burn,-3.24
Karnal,CT_burn,-2.185
Karnal,CT_burn,-3.054
Karnal,CT_burn,-2.771
Karnal,CT_burn,-2.395
Karnal,CT_burn,-3.135
Karnal,CT_burn,-2.646
Karnal,CT_burn,-2.212
Karnal,CT_burn,-1.797
Karnal,CT_burn,-3.444
Karnal,CT_burn,-3.254
Karnal,CT_burn,-2.496
Karnal,CT_burn,-2.561
Karnal,CT_burn,-2.948
Karnal,CT_burn,-2.661
Karnal,CT_burn,-2.81
Karnal,CT_burn,-2.217
Karnal,CT_burn,-2.908
Karnal,CT_burn,-2.016
Karnal,CT_burn,-2.689
Karnal,CT_burn,-3.18
Karnal,CT_burn,-2.441
Karnal,CT_burn,-2.64
Karnal,CT_burn,-2.628
Karnal,CT_burn,-2.38
Karnal,CT_burn,-2.157
Karnal,CT_burn,-2.866
Karnal,CT_burn,-3.033
Karnal,CT_burn,-3.224
Karnal,CT_burn,-2.542
Karnal,CT_burn,-2.8
Karnal,CT_burn,-2.287
Karnal,CT_burn,-2.786
Karnal,CT_burn,-2.929
Karnal,CT_burn,-2.951
Karnal,CT_burn,-2.115
Karnal,CT_burn,-2.805
Karnal,CT_burn,-1.875
Karnal,CT_burn,-2.87
Karnal,CT_burn,-3.064
Karnal,CT_burn,-3.368
Karnal,CT_burn,-1.948
Karnal,CT_burn,-2.103
Karnal,CT_burn,-3.601
Karnal,CT_burn,-2.613
Karnal,CT_burn,-3.379
Karnal,CT_burn,-2.192
Karnal,CT_burn,-2.225
Karnal,CT_burn,-3.081
Karnal,CT_burn,-3.084
Karnal,CT_burn,-2.857
Karnal,CT_burn,-2.275
Karnal,CT_burn,-2.726
Karnal,CT_burn,-2.461
Karnal,CT_burn,-2.062
Karnal,CT_burn,-3.553
Karnal,CT_burn,-2.248
Karnal,CT_burn,-2.897
Karnal,CT_burn,-2.236
Karnal,CT_burn,-2.794
Karnal,CT_burn,-2.999
Karnal,CT_burn,-2.843
Karnal,CT_burn,-2.868
Karnal,CT_burn,-2.926
Karnal,CT_burn,-3.092
Karnal,CT_burn,-2.436
Karnal,CT_burn,-2.728
Karnal,CT_burn,-2.487
Karnal,CT_burn,-2.715
Karnal,CT_burn,-2.847
Karnal,CT_burn,-3.307
Karnal,CT_burn,-2.245
Karnal,CT_burn,-2.818
Karnal,CT_burn,-2.892
Karnal,CT_burn,-2.289
Karnal,CT_burn,-2.467
Karnal,CT_burn,-3.142
Karnal,CT_burn,-1.611
Karnal,CT_burn,-3.359
Karnal,CT_burn,-3.461
Karnal,CT_burn,-2.549
Karnal,CT_burn,-2.941
Karnal,CT_burn,-3.118
Karnal,CT_burn,-1.902
Karnal,CT_burn,-2.599
Karnal,CT_burn,-2.909
Karnal,CT_burn,-2.318
Karnal,CT_burn,-2.156
Karnal,CT_burn,-3.2
Karnal,CT_burn,-2.363
Karnal,CT_burn,-2.647
Karnal,CT_burn,-3.647
Karnal,CT_burn,-3.087
Karnal,CT_burn,-2.601
Karnal,CT_burn,-3.693
Karnal,CT_burn,-3.236
Karnal,CT_burn,-3.035
Karnal,CT_burn,-2.641
Karnal,CT_burn,-2.873
Karnal,CT_burn,-2.279
Karnal,CT_burn,-2.21
Karnal,CT_burn,-1.991
Karnal,CT_burn,-2.013
Karnal,CT_burn,-2.657
Karnal,CT_burn,-2.512
Karnal,CT_burn,-2.547
Karnal,CT_burn,-3.509
Karnal,CT_burn,-2.496
